,carat,cut,color,clarity,depth,table,x,y,z,price
6542,1.01,2,4,1,63.1,57.0,6.37,6.3,4.0,4072
38640,0.42,3,5,4,62.3,57.0,4.83,4.8,3.0,1040
16111,1.21,3,5,2,62.9,58.0,6.79,6.78,4.27,6440
48475,0.7,1,4,1,63.3,58.0,5.57,5.61,3.54,1978
13177,1.37,1,1,3,64.1,58.0,6.92,6.9,4.43,5449
40770,0.41,1,5,4,63.9,53.0,4.75,4.7,3.02,1166
50946,0.62,4,3,3,61.6,55.0,5.51,5.53,3.4,2321
47780,0.55,4,4,4,61.5,56.0,5.26,5.3,3.25,1896
15102,1.05,3,3,3,61.8,58.0,6.52,6.59,4.05,6070
51013,0.74,1,2,3,63.0,57.0,5.72,5.77,3.62,2327
37659,0.42,3,4,2,62.9,57.0,4.77,4.73,2.99,992
43828,0.51,1,4,3,63.1,59.0,5.04,5.1,3.2,1444
31851,0.3,3,3,4,62.2,59.0,4.28,4.24,2.65,776
45272,0.54,3,4,3,61.8,58.0,5.22,5.29,3.25,1662
12142,1.01,2,4,2,62.7,57.0,6.32,6.38,3.98,5174
39217,0.32,4,6,3,61.7,55.0,4.39,4.42,2.72,1066
19802,1.0,4,3,6,61.9,57.0,6.43,6.39,3.97,8366
8035,0.9,3,5,3,62.9,58.0,6.15,6.12,3.86,4334
2500,0.71,4,5,4,61.4,59.0,5.71,5.75,3.52,3198
53149,0.74,4,4,1,61.9,56.0,5.81,5.85,3.61,2623
32051,0.32,4,6,4,60.3,57.0,4.42,4.44,2.67,780
9905,1.11,3,2,4,62.3,57.0,6.67,6.62,4.14,4687
37649,0.41,2,6,4,63.4,56.0,4.7,4.76,3.0,991
18758,1.2,1,4,3,63.8,60.0,6.6,6.65,4.23,7666
17611,1.24,2,2,4,62.6,54.0,6.84,6.88,4.29,7092
7461,0.9,3,2,4,62.9,58.0,6.12,6.06,3.83,4234
9293,1.06,2,5,1,61.7,62.0,6.5,6.54,4.02,4570
10837,1.09,4,2,2,62.4,55.0,6.68,6.59,4.14,4871
44942,0.55,4,3,3,60.1,55.0,5.33,5.37,3.22,1634
42870,0.43,3,4,6,60.3,58.0,4.88,4.91,2.95,1358
33309,0.41,1,5,4,62.8,58.0,4.67,4.7,2.94,827
5993,0.71,4,3,6,61.1,57.0,5.76,5.8,3.53,3955
30107,0.32,3,3,3,59.8,59.0,4.52,4.48,2.69,720
37171,0.32,4,6,3,62.0,55.0,4.41,4.37,2.72,972
18963,1.29,3,2,3,60.7,61.0,7.1,7.01,4.28,7802
8959,1.2,2,4,1,63.2,58.0,6.78,6.74,4.27,4502
747,0.33,4,1,2,63.0,57.0,4.39,4.37,2.76,557
14363,1.18,2,2,2,63.3,55.0,6.75,6.72,4.26,5815
47346,0.5,4,6,3,62.5,54.0,5.09,5.05,3.17,1845
46376,0.51,2,3,5,62.2,56.0,5.1,5.13,3.18,1762
10546,1.04,3,3,2,59.2,61.0,6.68,6.63,3.94,4811
30753,0.25,3,4,6,60.7,59.0,4.1,4.07,2.48,740
41453,0.38,4,4,7,62.2,54.0,4.68,4.71,2.92,1229
38230,0.43,4,2,6,61.6,55.0,4.85,4.89,3.0,1017
16081,1.04,2,3,3,62.8,56.0,6.42,6.48,4.05,6424
47598,0.62,4,2,4,61.4,56.0,5.47,5.51,3.37,1878
15628,1.01,3,4,3,58.9,58.0,6.59,6.51,3.86,6271
36569,0.42,1,5,2,63.6,61.0,4.73,4.7,3.0,945
37509,0.36,4,3,7,61.7,56.0,4.57,4.6,2.83,985
18577,1.51,1,1,3,63.8,57.0,7.24,7.18,4.6,7577
52811,0.71,3,2,4,62.9,57.0,5.72,5.67,3.58,2572
7465,0.9,4,2,4,62.0,56.0,6.22,6.19,3.85,4234
18521,1.6,3,0,2,62.2,58.0,7.48,7.54,4.67,7550
3789,0.73,4,4,5,61.7,54.0,5.82,5.76,3.57,3463
36596,0.3,3,4,7,61.6,58.0,4.32,4.35,2.67,947
30904,0.31,4,5,3,60.9,57.0,4.36,4.38,2.66,745
10373,1.15,3,3,2,62.0,58.0,6.68,6.77,4.17,4776
8489,0.9,2,5,3,62.8,57.0,6.13,6.16,3.86,4419
16460,1.2,4,2,2,61.9,56.0,6.78,6.82,4.21,6578
32457,0.39,4,2,5,62.0,55.0,4.68,4.7,2.91,794
23465,1.51,2,5,2,62.8,59.0,7.26,7.3,4.57,11460
32486,0.41,3,6,1,59.9,60.0,4.8,4.78,2.87,795
36636,0.41,2,6,2,63.4,55.0,4.72,4.68,2.98,947
7753,0.64,4,6,6,61.5,56.0,5.57,5.59,3.43,4281
49780,0.7,2,4,2,62.3,58.0,5.62,5.78,3.55,2161
35765,0.4,4,5,3,62.3,56.0,4.72,4.75,2.95,912
35414,0.32,4,5,3,62.0,57.0,4.41,4.39,2.73,900
43170,0.54,3,2,3,61.6,58.0,5.24,5.22,3.22,1389
37435,0.33,4,3,7,62.2,56.0,4.43,4.45,2.76,984
44946,0.58,3,4,2,62.2,61.0,5.33,5.25,3.29,1634
43233,0.57,2,4,1,63.5,56.0,5.28,5.25,3.34,1397
44030,0.51,3,3,3,62.4,58.0,5.12,5.11,3.19,1546
48149,0.53,4,3,5,61.8,58.0,5.18,5.2,3.21,1941
34533,0.33,2,3,6,62.8,59.0,4.38,4.44,2.77,868
43827,0.51,2,3,3,63.5,57.0,5.06,5.05,3.21,1443
22875,1.05,2,5,6,59.5,60.0,6.56,6.66,3.93,10915
12721,1.04,4,3,2,61.9,56.0,6.46,6.5,4.01,5311
39154,0.44,3,1,5,61.5,57.0,4.92,4.87,3.01,1063
45985,0.3,2,2,4,62.9,56.0,4.22,4.27,2.67,526
20816,1.55,4,2,1,62.0,58.0,7.44,7.39,4.6,9044
8744,0.9,3,5,2,60.8,59.0,6.19,6.24,3.78,4463
53690,0.82,3,1,3,62.2,59.0,6.03,5.97,3.73,2716
44884,0.5,4,5,3,62.9,54.0,5.14,5.1,3.22,1629
38341,0.32,3,3,7,62.0,60.0,4.41,4.37,2.72,1020
34687,0.3,4,4,7,61.8,55.0,4.31,4.33,2.67,873
53519,0.72,2,5,1,61.4,58.0,5.76,5.8,3.55,2688
49974,0.29,2,3,5,60.9,57.0,4.28,4.32,2.61,541
37457,0.42,3,2,5,62.4,55.0,4.81,4.78,2.99,984
43498,0.54,4,3,3,61.5,55.0,5.24,5.27,3.23,1422
20371,0.31,3,3,4,61.2,60.0,4.3,4.33,2.64,625
28037,0.34,2,5,3,59.8,62.0,4.52,4.54,2.71,659
53869,0.75,4,4,2,62.3,57.0,5.82,5.77,3.61,2744
14978,1.14,3,4,2,61.1,59.0,6.75,6.7,4.11,6033
15159,1.04,2,3,3,62.3,54.0,6.49,6.55,4.06,6095
4555,0.9,2,2,2,63.0,58.0,6.13,6.18,3.88,3643
43941,0.32,4,2,4,61.8,53.0,4.41,4.43,2.73,516
48815,0.56,2,5,4,62.0,58.9,5.25,5.29,3.27,2027
49918,0.7,3,3,2,61.8,59.0,5.68,5.59,3.48,2184
2034,0.72,3,4,5,61.6,59.0,5.78,5.72,3.54,3105
52040,0.71,2,2,3,59.2,63.0,5.85,5.81,3.45,2450
46061,0.53,3,6,3,59.9,58.0,5.26,5.29,3.16,1734
46213,0.57,4,4,2,62.2,56.0,5.33,5.31,3.31,1751
32270,0.3,4,5,5,61.9,57.0,4.28,4.32,2.66,789
18538,1.53,3,0,3,62.9,59.0,7.34,7.31,4.61,7554
1905,1.0,4,2,0,61.3,57.0,6.41,6.44,3.94,3080
38884,0.4,4,6,3,61.5,55.0,4.75,4.71,2.91,1050
3014,0.76,4,6,2,62.0,57.0,5.88,5.92,3.66,3306
48567,0.59,3,3,4,62.5,53.0,5.46,5.35,3.38,1991
50855,0.7,2,5,2,60.3,60.0,5.77,5.81,3.49,2312
38347,0.48,3,4,2,59.6,59.0,5.13,5.11,3.05,1020
45936,0.51,2,4,4,63.3,59.0,5.09,5.12,3.23,1722
31225,0.32,2,6,2,63.5,55.0,4.35,4.31,2.75,756
49680,0.76,4,3,1,62.1,54.0,5.88,5.84,3.64,2143
1344,0.96,3,5,1,60.4,56.0,6.32,6.23,3.79,2961
4308,1.05,3,0,3,59.4,62.0,6.66,6.58,3.93,3593
6736,0.3,2,5,4,61.5,57.0,4.28,4.31,2.64,578
33973,0.31,1,4,5,63.6,55.0,4.33,4.29,2.74,846
5069,0.3,3,3,2,59.7,60.0,4.39,4.35,2.61,574
48099,0.62,4,6,2,61.6,55.0,5.49,5.51,3.39,1934
49015,0.5,3,4,5,61.9,58.0,5.07,5.1,3.15,2052
18250,1.17,4,3,3,62.0,56.0,6.71,6.74,4.17,7413
13981,1.2,4,1,2,62.3,53.0,6.8,6.85,4.25,5694
34439,0.32,4,5,5,62.4,56.0,4.39,4.43,2.75,864
40615,0.33,2,0,5,62.1,56.0,4.44,4.45,2.76,499
42314,0.41,4,4,6,61.7,57.0,4.77,4.8,2.95,1295
53485,0.76,4,6,1,62.2,57.0,5.83,5.85,3.63,2682
11396,0.34,2,5,2,59.6,57.0,4.52,4.61,2.72,596
30233,0.33,4,5,3,61.9,54.0,4.42,4.47,2.75,723
52847,0.61,4,3,7,61.7,55.0,5.44,5.49,3.37,2575
48542,0.72,2,0,4,62.7,58.0,5.67,5.72,3.57,1988
13836,0.9,2,3,5,61.4,60.0,6.18,6.23,3.81,5640
33107,0.34,4,5,4,62.2,54.2,4.44,4.47,2.78,816
13366,0.24,2,4,4,62.5,58.0,3.95,3.96,2.47,419
13129,1.01,2,2,2,62.9,56.0,6.34,6.41,4.01,5433
33,0.23,2,5,4,59.5,58.0,4.01,4.06,2.4,402
19125,1.51,2,1,2,63.1,56.0,7.28,7.33,4.61,7891
2824,1.12,3,0,1,60.7,61.0,6.71,6.64,4.05,3266
3920,0.56,4,6,6,61.9,56.0,5.32,5.28,3.28,3496
20660,1.0,2,4,5,63.0,59.0,6.33,6.36,4.0,8950
6036,0.25,4,4,6,60.9,57.0,4.06,4.09,2.48,575
34437,0.46,3,1,1,61.0,58.0,5.03,4.97,3.05,863
49523,0.54,4,3,6,61.8,55.0,5.24,5.27,3.25,2123
39409,0.41,3,4,4,59.9,58.0,4.84,4.81,2.89,1076
1783,0.83,4,5,1,61.9,53.0,6.08,6.04,3.75,3049
28738,0.31,3,5,3,61.3,60.0,4.32,4.39,2.67,680
17390,0.32,4,6,1,61.8,55.0,4.42,4.38,2.72,612
46304,0.3,4,3,3,61.7,56.0,4.31,4.35,2.67,526
1406,0.36,4,4,2,61.6,56.0,4.57,4.62,2.83,560
51076,0.7,3,5,2,62.9,58.0,5.68,5.61,3.55,2333
254,0.77,3,2,4,61.3,60.0,5.9,5.88,3.61,2789
20870,1.63,2,1,2,62.0,54.0,7.6,7.67,4.73,9090
6510,1.12,3,0,2,62.3,57.0,6.72,6.61,4.15,4064
38637,0.31,2,2,3,60.5,63.0,4.33,4.37,2.63,489
46882,0.72,4,2,1,61.8,55.0,5.79,5.76,3.57,1814
12454,1.2,2,4,1,62.2,62.0,6.7,6.77,4.19,5247
21800,1.21,4,3,3,60.1,57.0,6.94,6.98,4.18,9873
32005,0.41,4,0,7,62.1,54.0,4.78,4.81,2.98,777
22821,1.38,3,3,4,62.4,58.0,7.14,7.09,4.44,10850
17134,1.26,4,2,2,61.0,56.0,7.04,7.0,4.28,6837
21576,1.6,4,0,3,62.1,56.0,7.47,7.51,4.65,9681
40191,0.4,1,3,7,59.7,62.0,4.75,4.8,2.85,1120
2902,0.72,4,5,4,62.6,57.0,5.69,5.72,3.57,3283
17212,1.01,3,3,4,61.7,56.0,6.53,6.46,4.01,6882
36799,0.34,3,5,3,61.9,58.0,4.45,4.43,2.75,956
28681,0.24,4,4,7,61.6,57.0,3.97,4.0,2.45,678
37373,0.4,3,4,4,60.3,60.0,4.77,4.81,2.89,982
4142,0.9,3,2,2,62.7,58.0,6.14,6.2,3.87,3545
20096,1.26,4,5,2,61.5,59.0,6.92,6.96,4.27,8574
51399,0.7,3,4,3,61.1,62.0,5.69,5.64,3.46,2369
22300,1.6,2,1,3,60.0,58.0,7.61,7.68,4.59,10346
49407,0.7,2,2,2,63.5,57.0,5.59,5.66,3.59,2106
38741,0.35,2,3,7,62.2,58.0,4.45,4.52,2.79,1044
46569,0.5,2,3,5,61.6,58.0,5.07,5.09,3.13,1784
21470,1.51,1,1,4,62.0,56.0,7.23,7.29,4.5,9569
44546,0.56,4,1,6,60.8,57.0,5.31,5.34,3.24,1605
52768,0.72,1,4,2,64.0,61.0,5.67,5.62,3.61,2563
12426,1.03,2,4,2,60.6,63.0,6.47,6.5,3.93,5241
21495,1.52,2,0,6,63.6,56.0,7.26,7.33,4.64,9593
22551,1.7,4,0,4,60.9,58.0,7.73,7.68,4.69,10589
30658,0.37,4,5,3,61.0,56.0,4.62,4.66,2.83,737
32548,0.27,4,6,5,62.3,57.0,4.15,4.13,2.58,799
41268,0.31,4,1,4,61.3,54.0,4.39,4.46,2.7,502
10725,0.31,3,6,1,62.9,59.0,4.31,4.28,2.7,593
2781,0.9,2,2,1,64.1,59.0,5.97,6.07,3.86,3255
16410,1.0,3,3,4,59.1,61.0,6.54,6.48,3.85,6552
42096,0.44,4,5,5,61.9,56.0,4.88,4.91,3.03,1274
3152,0.6,2,4,6,61.2,58.0,5.42,5.46,3.33,3333
10633,1.15,3,2,1,62.0,58.0,6.7,6.66,4.14,4830
40216,0.5,2,6,1,58.9,60.0,5.2,5.23,3.07,1123
2724,0.26,1,4,6,63.3,57.0,4.05,4.07,2.57,564
17646,1.52,4,3,1,61.9,57.0,7.43,7.38,4.58,7108
43290,0.5,4,2,3,62.3,58.0,5.12,5.05,3.17,1400
18635,1.01,4,6,3,62.6,54.0,6.46,6.42,4.03,7602
3058,0.38,2,0,3,60.5,60.0,4.64,4.68,2.82,566
4459,0.91,3,1,4,59.5,62.0,6.3,6.24,3.73,3620
32701,0.31,4,4,3,61.6,55.0,4.37,4.36,2.69,802
46843,0.56,4,4,2,61.1,56.0,5.35,5.33,3.26,1811
19698,0.36,3,1,2,60.4,60.0,4.62,4.58,2.78,624
45237,0.52,2,2,4,61.7,55.0,5.15,5.17,3.19,1659
43130,0.52,3,5,2,60.9,58.0,5.21,5.17,3.16,1387
48093,0.62,3,3,4,59.8,58.0,5.55,5.58,3.33,1933
34517,0.33,4,3,6,62.0,56.0,4.45,4.48,2.77,868
42584,0.45,4,6,4,62.3,56.0,4.88,4.91,3.05,1330
45195,0.51,4,5,3,60.9,56.0,5.15,5.2,3.15,1656
272,0.7,1,5,3,64.1,55.0,5.6,5.66,3.61,2793
8408,1.06,4,2,1,62.8,57.0,6.52,6.56,4.11,4402
52755,0.72,2,1,6,62.8,56.0,5.69,5.75,3.59,2562
12885,1.02,3,4,2,61.4,58.0,6.48,6.41,3.96,5369
31582,0.35,4,5,3,61.7,56.0,4.52,4.56,2.8,767
32618,0.3,4,2,3,62.0,57.0,4.27,4.31,2.66,457
2983,0.7,3,4,6,62.4,56.0,5.69,5.63,3.53,3300
37632,0.4,3,6,2,61.1,58.0,4.75,4.74,2.9,990
38137,0.3,3,3,6,62.6,58.0,4.29,4.27,2.68,1013
47168,0.52,4,3,5,62.1,57.0,5.13,5.15,3.19,1835
36453,0.31,3,6,3,62.3,55.0,4.35,4.32,2.7,942
35955,0.3,4,4,2,62.5,57.0,4.3,4.31,2.69,475
40629,0.41,4,5,4,61.7,55.0,4.78,4.75,2.94,1153
37155,0.32,4,6,3,61.0,57.0,4.46,4.42,2.71,972
5808,0.91,2,6,1,60.8,58.0,6.26,6.31,3.82,3910
46021,0.53,2,3,4,63.4,56.0,5.15,5.1,3.25,1727
31673,0.26,4,4,5,61.6,57.0,4.1,4.08,2.52,769
22746,1.78,3,5,1,60.5,59.0,7.89,7.8,4.75,10765
46924,0.52,3,3,4,61.1,58.0,5.19,5.16,3.16,1815
5211,0.72,4,4,5,60.9,56.0,5.83,5.77,3.53,3780
45851,0.55,4,4,3,61.4,56.0,5.28,5.31,3.25,1715
41422,0.46,4,2,6,62.3,54.0,4.96,4.99,3.1,1227
48196,0.52,4,5,3,61.2,56.0,5.2,5.16,3.17,1947
19763,1.0,3,6,4,61.9,55.0,6.4,6.36,3.95,8333
766,0.76,4,5,2,62.7,54.0,5.88,5.83,3.67,2858
16980,1.04,3,4,3,61.7,59.0,6.45,6.49,3.99,6782
44348,0.56,4,5,2,61.7,56.0,5.3,5.33,3.28,1580
16940,1.34,2,1,2,61.1,59.0,7.05,7.12,4.33,6763
5588,0.92,3,4,1,59.3,61.0,6.36,6.29,3.75,3864
7267,1.03,4,1,4,62.4,57.0,6.48,6.4,4.02,4199
31105,0.41,4,4,2,61.4,57.0,4.76,4.79,2.93,753
43940,0.3,1,6,2,63.4,55.0,4.22,4.26,2.69,515
14553,1.25,4,2,1,62.8,55.0,6.87,6.82,4.3,5880
121,0.74,4,5,2,62.3,54.0,5.8,5.83,3.62,2762
8488,1.01,3,4,2,62.2,59.0,6.44,6.35,3.98,4418
39026,0.43,2,3,5,62.2,55.0,4.81,4.84,3.0,1056
48318,0.31,4,1,6,61.2,55.6,4.33,4.38,2.67,536
29003,0.34,2,2,5,62.7,59.0,4.43,4.47,2.79,686
9582,1.08,4,3,1,62.2,56.0,6.59,6.56,4.09,4627
9966,1.0,4,2,2,60.3,56.0,6.52,6.54,3.94,4702
44019,0.51,3,5,2,61.3,54.0,5.18,5.13,3.16,1546
51549,0.52,4,3,6,60.6,57.0,5.21,5.26,3.17,2387
36480,0.43,2,3,4,60.9,57.0,4.88,4.91,2.98,943
3071,0.8,3,6,2,61.7,58.0,5.96,5.93,3.67,3312
48573,0.71,2,3,1,63.0,56.0,5.62,5.65,3.55,1993
32923,0.37,4,2,6,62.3,56.0,4.56,4.59,2.85,810
36524,0.4,3,4,2,62.8,59.0,4.72,4.71,2.96,945
28466,0.39,2,5,1,59.1,56.0,4.76,4.82,2.83,672
1520,0.7,4,6,3,62.8,57.0,5.69,5.75,3.59,2998
33623,0.33,4,3,1,61.7,55.0,4.46,4.48,2.76,463
5438,0.86,4,5,1,61.8,57.0,6.1,6.13,3.78,3828
51672,0.7,4,5,1,61.9,57.0,5.66,5.69,3.51,2398
30921,0.34,2,5,3,62.8,58.0,4.43,4.45,2.79,745
4434,0.9,1,3,2,64.5,57.0,6.04,6.09,3.91,3615
11579,0.9,2,6,2,60.6,59.0,6.23,6.28,3.79,5040
27774,0.32,3,2,3,62.3,57.0,4.39,4.37,2.73,648
35820,0.31,4,4,7,62.1,54.0,4.36,4.4,2.72,914
18455,1.01,3,6,3,60.0,59.0,6.53,6.48,3.9,7508
46215,0.55,4,3,3,61.6,55.0,5.31,5.25,3.25,1752
24699,0.3,2,2,6,61.1,61.0,4.27,4.3,2.62,638
33981,0.41,1,3,4,63.3,62.0,4.67,4.71,2.97,847
21640,1.51,2,5,1,61.8,57.0,7.34,7.32,4.53,9731
6916,0.9,3,3,3,62.0,60.0,6.19,6.14,3.82,4137
30882,0.33,3,5,2,62.2,59.0,4.43,4.41,2.75,743
35904,0.32,4,3,7,61.5,55.0,4.43,4.45,2.73,918
4583,0.82,4,3,4,61.5,56.0,6.01,6.05,3.71,3652
37697,0.41,4,0,6,62.0,57.0,4.79,4.73,2.95,994
35552,0.35,4,2,5,59.2,56.0,4.65,4.6,2.74,906
45108,0.56,4,5,2,61.6,55.0,5.31,5.33,3.28,1649
6249,0.9,2,4,2,63.0,61.0,6.09,6.14,3.85,4009
37384,0.4,4,6,3,60.4,56.0,4.73,4.77,2.87,982
21400,1.51,3,1,4,63.0,59.0,7.3,7.28,4.59,9513
19659,1.04,4,3,6,62.5,55.0,6.54,6.45,4.06,8268
1379,0.79,4,2,3,62.0,56.0,5.91,5.93,3.67,2967
11950,1.01,4,5,2,61.8,56.0,6.46,6.51,4.01,5132
32087,0.33,4,6,3,62.3,56.0,4.43,4.46,2.77,781
30627,0.26,4,2,4,62.6,56.0,4.07,4.09,2.55,448
17694,1.21,4,1,5,62.2,55.0,6.79,6.83,4.23,7134
4380,0.31,2,6,2,61.1,57.0,4.35,4.36,2.66,571
38683,0.3,4,4,6,61.6,57.0,4.33,4.34,2.67,1041
21728,1.13,4,5,3,61.7,57.0,6.67,6.71,4.13,9796
20599,1.6,4,0,4,62.1,57.0,7.46,7.54,4.66,8904
14632,1.11,3,5,2,61.3,58.0,6.66,6.61,4.07,5908
46480,0.55,2,4,3,62.1,55.4,5.25,5.27,3.26,1777
787,0.9,3,1,2,63.0,58.0,6.09,6.01,3.81,2861
31345,0.27,4,5,5,60.2,55.0,4.24,4.27,2.56,760
45255,0.52,1,5,3,61.5,61.0,5.16,5.09,3.15,1660
42948,0.3,2,4,1,63.3,55.0,4.33,4.29,2.73,506
46201,0.51,3,2,5,60.8,61.0,5.12,5.08,3.1,1749
16916,1.14,4,2,3,62.6,53.0,6.67,6.72,4.19,6753
13502,1.21,3,0,3,60.2,57.0,6.97,6.91,4.18,5541
49224,0.58,2,5,4,62.9,54.0,5.31,5.34,3.35,2082
28051,0.38,4,2,3,62.4,56.0,4.62,4.65,2.89,660
48469,0.74,2,0,3,62.3,55.0,5.79,5.83,3.62,1978
14106,1.03,3,2,3,61.8,58.0,6.48,6.43,3.99,5722
33038,0.32,4,3,6,61.1,55.0,4.43,4.45,2.71,814
53007,0.7,3,2,5,61.0,57.0,5.76,5.72,3.5,2596
23806,1.73,3,3,4,61.6,60.0,7.67,7.62,4.71,11867
43515,0.59,2,4,2,63.0,56.0,5.3,5.34,3.35,1424
35209,0.33,3,1,7,62.1,58.0,4.43,4.39,2.74,891
39334,0.4,4,6,4,60.6,56.0,4.82,4.78,2.91,1072
41008,0.58,4,2,2,61.6,57.0,5.34,5.38,3.3,1184
18612,1.58,4,0,2,61.6,56.0,7.53,7.5,4.63,7592
52902,0.72,4,1,4,62.5,55.0,5.74,5.78,3.6,2586
49111,0.57,4,4,4,61.4,55.0,5.38,5.39,3.3,2065
42839,0.41,4,4,6,60.3,56.0,4.85,4.8,2.91,1356
49217,1.06,2,3,0,60.7,63.0,6.59,6.56,3.99,2080
47516,0.53,4,3,5,61.9,54.0,5.2,5.23,3.23,1867
45898,0.52,3,6,2,61.4,58.0,5.19,5.16,3.18,1720
30394,0.33,4,2,6,61.5,56.0,4.46,4.49,2.75,730
47658,0.23,2,5,5,60.9,60.0,3.96,3.99,2.42,530
449,0.87,4,2,1,62.7,56.0,6.16,6.13,3.85,2816
12848,0.9,1,5,4,59.3,56.0,6.27,6.32,3.73,5356
32380,0.39,3,0,4,61.0,62.0,4.71,4.66,2.86,790
34599,0.27,2,4,3,63.3,58.0,4.08,4.1,2.59,470
2947,0.76,4,6,3,60.2,56.0,5.95,5.92,3.57,3293
13207,1.21,2,1,2,60.6,56.0,6.89,6.97,4.2,5457
40513,0.4,1,4,6,63.3,57.0,4.68,4.7,2.97,1145
6230,1.01,0,3,2,64.2,59.0,6.31,6.28,4.04,4004
37022,0.33,3,3,5,61.7,59.0,4.42,4.39,2.72,965
